Build Type,ID,NAME,TYPE,"ORIENTATION (D,U,L,R)","NORMALLY (0=closed, 1=open)",inNode is Connected To,Node (OUT -or- IN),outNode is Connected To,Node (OUT -or- IN),Length,Label,TextAncor,"Label Orientation (H,V)","Label Placement (L,R)",Associated With
1-NODE,1,LINE_CS1-DD3,BUS,D,0,LINE_CS1-DD2,OUT,NA,NA,12,LINE_CS1-DD3,CB,H,R,NA
*** Droid Depot Substation ***
1-NODE,1,LINE_DD-2A,BUS,R,0,LINE_CS1-DD3,OUT,NA,NA,3,LINE_DD-2A,CB,H,R,DD
1-NODE,1,DD-201,SWITCH,R,0,LINE_DD-2A,OUT,NA,NA,99,DD-201,CB,H,R,DD
1-NODE,1,DD-2,70KVB,R,0,DD-201,OUT,NA,NA,99,DD-2,CB,H,R,DD
1-NODE,1,DD-203,SWITCH,R,0,DD-2,OUT,NA,NA,99,DD-203,CB,H,R,DD
1-NODE,1,LINE_DD-2B,BUS,U,0,LINE_DD-2A,OUT,NA,NA,3,LINE_DD-2B,CB,H,R,DD
1-NODE,1,LINE_DD-2C,BUS,R,0,LINE_DD-2B,OUT,NA,NA,3,LINE_DD-2C,CB,H,R,DD
1-NODE,1,DD-205,SWITCH,R,1,LINE_DD-2C,OUT,NA,NA,99,DD-205,CB,H,R,DD
1-NODE,1,LINE_DD-2D,BUS,R,0,DD-205,OUT,NA,NA,3,LINE_DD-2D,CB,H,R,DD
2-NODE,1,LINE_DD-2E,BUS,D,0,LINE_DD-2D,OUT,DD-203,OUT,3,LINE_DD-2E,CB,H,R,DD
1-NODE,1,LINE_DD-2F,BUS,R,0,DD-203,OUT,NA,NA,3,LINE_DD-2F,CB,H,R,DD
1-NODE,1,LINE_DD-3A,BUS,R,0,LINE_DD-2F,OUT,NA,NA,3,LINE_DD-3A,CB,H,R,DD
1-NODE,1,DD-303,SWITCH,R,0,LINE_DD-3A,OUT,NA,NA,99,DD-303,CB,H,R,DD
1-NODE,1,DD-3,70KVB,R,0,DD-303,OUT,NA,NA,99,DD-3,CB,H,R,DD
1-NODE,1,DD-301,SWITCH,R,0,DD-3,OUT,NA,NA,99,DD-301,CB,H,R,DD
1-NODE,1,LINE_DD-3B,BUS,U,0,LINE_DD-3A,OUT,NA,NA,3,LINE_DD-3B,CB,H,R,DD
1-NODE,1,LINE_DD-3C,BUS,R,0,LINE_DD-3B,OUT,NA,NA,3,LINE_DD-3C,CB,H,R,DD
1-NODE,1,DD-305,SWITCH,R,1,LINE_DD-3C,OUT,NA,NA,99,DD-305,CB,H,R,DD
1-NODE,1,LINE_DD-3D,BUS,R,0,DD-305,OUT,NA,NA,3,LINE_DD-3D,CB,H,R,DD
2-NODE,1,LINE_DD-3E,BUS,D,0,LINE_DD-3D,OUT,DD-301,OUT,3,LINE_DD-3E,CB,H,R,DD
1-NODE,1,LINE_DD-3F,BUS,R,0,DD-301,OUT,NA,NA,3,LINE_DD-3F,CB,H,R,DD
1-NODE,6,LINE_DD-1A,BUS,D,0,LINE_DD-2F,OUT,NA,NA,3,LINE_DD-1A,CC,H,L,DD
1-NODE,3,DD-103,SWITCH,D,0,LINE_DD-1A,OUT,NA,NA,99,DD-103,RC,H,L,DD
1-NODE,4,DD-1,70KVB,D,0,DD-103,OUT,NA,NA,99,DD-1,RC,H,L,DD
1-NODE,5,DD-101,SWITCH,D,0,DD-1,OUT,NA,NA,99,DD-101,RC,H,L,DD
1-NODE,7,LINE_DD-1B,BUS,R,0,LINE_DD-1A,OUT,NA,NA,3,LINE_DD-1B,CC,H,L,DD
1-NODE,1,LINE_DD-1C,BUS,D,0,LINE_DD-1B,OUT,NA,NA,3,LINE_DD-1C,CC,H,L,DD
1-NODE,8,DD-105,SWITCH,D,1,LINE_DD-1C,OUT,NA,NA,99,DD-105,LC,H,R,DD
1-NODE,9,LINE_DD-1D,BUS,D,0,DD-105,OUT,NA,NA,3,LINE_DD-1D,CC,H,L,DD
2-NODE,10,LINE_DD-1E,BUS,R,0,DD-101,OUT,LINE_DD-1D,OUT,3,LINE_DD-1E,CC,H,L,DD
1-Node,1002,XFMR_DD1,XFMR,D,0,DD-101,OUT,NA,NA,99,Transformer DD1,LC,H,R,DD
1-Node,1003,MAIN_DD1,12KVB,D,0,XFMR_DD1,OUT,NA,NA,99,DD1 Main,LC,H,R,DD
1-NODE,1,BUS_DD1A,BUS,L,0,MAIN_DD1,OUT,NA,NA,4,BUS_DD1A,CB,H,R,DD
1-NODE,1,FDR_DD5,12KVB,D,0,BUS_DD1A,OUT,NA,NA,99,DD5,LC,H,R,DD
1-NODE,1,FDR_DD7,12KVB,D,0,MAIN_DD1,OUT,NA,NA,99,DD7,LC,H,R,DD
1-NODE,1,BUS_DD1B,BUS,L,0,BUS_DD1A,OUT,NA,NA,4,BUS_DD1B,LC,H,R,DD
1-NODE,1,FDR_DD3,12KVB,D,0,BUS_DD1B,OUT,NA,NA,99,DD3,LC,H,R,DD
1-NODE,1,BUS_DD1C,BUS,R,0,MAIN_DD1,OUT,NA,NA,4,BUS_DD1C,LC,H,R,DD
1-NODE,1,FDR_DD8,12KVB,D,0,BUS_DD1C,OUT,NA,NA,99,DD8,LC,H,R,DD
1-NODE,1,BUS_DD1D,BUS,R,0,BUS_DD1C,OUT,NA,NA,4,BUS_DD1D,LC,H,R,DD
1-NODE,1,FDR_DD9,12KVB,D,0,BUS_DD1D,OUT,NA,NA,99,DD9,LC,H,R,DD
*** Line to Solo Ace Flight Ctr ***
1-NODE,1,LINE_CS1-FC1,BUS,R,0,LINE_DD-3F,OUT,NA,NA,3,LINE_CS1-FC1,LC,H,R,NA
1-NODE,1,LINE_CS1-FC2,BUS,D,0,LINE_CS1-FC1,OUT,NA,NA,30,LINE_CS1-FC2,LC,H,R,NA
*** Solo Ace Flight Center Substation ***
1-Node,14001,FC-100,SWITCH,D,0,LINE_CS1-FC2,OUT,NA,NA,99,FC-100,RC,H,L,FC
1-Node,14002,LINE_FC-1A,BUS,D,0,FC-100,OUT,NA,NA,3,LINE_FC-1A,RC,H,L,FC
1-Node,14003,FC-101,SWITCH,D,0,LINE_FC-1A,OUT,NA,NA,99,FC-101,RC,H,L,FC
1-Node,14004,FC-1,70KVB,D,0,FC-101,OUT,NA,NA,99,FC-1,RC,H,L,FC
1-Node,14005,FC-103,SWITCH,D,0,FC-1,OUT,NA,NA,99,FC-103,RC,H,L,FC
1-Node,14006,LINE_FC-1F,BUS,D,0,FC-103,OUT,NA,NA,2,LINE_FC-1F,RC,H,L,FC
1-Node,14007,LINE_FC-1B,BUS,R,0,LINE_FC-1A,OUT,NA,NA,3,LINE_FC-1B,RC,H,L,FC
1-Node,14008,LINE_FC-1C,BUS,D,0,LINE_FC-1B,OUT,NA,NA,3,LINE_FC-1C,RC,H,L,FC
1-Node,14009,FC-105,SWITCH,D,1,LINE_FC-1C,OUT,NA,NA,99,FC-105,LC,H,R,FC
1-Node,14010,LINE_FC-1D,BUS,D,0,FC-105,OUT,NA,NA,3,LINE_FC-1D,LC,H,R,FC
2-Node,14011,LINE_FC-1E,BUS,L,0,LINE_FC-1D,OUT,FC-103,OUT,3,LINE_FC-1E,LC,H,R,FC
1-Node,14012,LINE_FC-4A,BUS,D,0,LINE_FC-1F,OUT,NA,NA,2,LINE_FC-4A,LC,H,R,FC
1-Node,14013,FC-403,SWITCH,D,0,LINE_FC-4A,OUT,NA,NA,99,FC-403,RC,H,L,FC
1-Node,14014,FC-4,70KVB,D,0,FC-403,OUT,NA,NA,99,FC-4,RC,H,L,FC
1-Node,14015,FC-401,SWITCH,D,0,FC-4,OUT,NA,NA,99,FC-401,RC,H,L,FC
1-Node,14016,LINE_FC-4B,BUS,R,0,LINE_FC-4A,OUT,NA,NA,3,LINE_FC-4B,CC,H,R,FC
1-Node,14017,LINE_FC-4C,BUS,D,0,LINE_FC-4B,OUT,NA,NA,3,LINE_FC-4C,CC,H,R,FC
1-Node,14018,FC-405,SWITCH,D,1,LINE_FC-4C,OUT,NA,NA,99,FC-405,LC,H,R,FC
1-Node,14019,LINE_FC-4D,BUS,D,0,FC-405,OUT,NA,NA,3,LINE_FC-4D,CC,H,R,FC
2-Node,14020,LINE_FC-4E,BUS,L,0,LINE_FC-4D,OUT,FC-401,OUT,3,LINE_FC-4E,CC,H,R,FC
1-Node,14021,LINE_FC-3A,BUS,R,0,LINE_FC-1F,OUT,NA,NA,5,LINE_FC-3A,CC,H,R,FC
1-Node,14022,FC-301,SWITCH,R,0,LINE_FC-3A,OUT,NA,NA,99,FC-301,CB,H,R,FC
1-Node,14023,FC-3,70KVB,R,0,FC-301,OUT,NA,NA,99,FC-3,CB,H,R,FC
1-Node,14024,FC-303,SWITCH,R,0,FC-3,OUT,NA,NA,99,FC-303,CB,H,R,FC
1-Node,14025,LINE_FC-3B,BUS,U,0,LINE_FC-3A,OUT,NA,NA,3,LINE_FC-3B,CC,H,R,FC
1-Node,14026,LINE_FC-3C,BUS,R,0,LINE_FC-3B,OUT,NA,NA,3,LINE_FC-3C,CC,H,R,FC
1-Node,14027,FC-305,SWITCH,R,1,LINE_FC-3C,OUT,NA,NA,99,FC-305,CB,H,R,FC
1-Node,14028,LINE_FC-3D,BUS,R,0,FC-305,OUT,NA,NA,3,LINE_FC-3D,CC,H,R,FC
2-Node,14029,LINE_FC-3E,BUS,D,0,LINE_FC-3D,OUT,FC-303,OUT,3,LINE_FC-3E,CC,H,R,FC
1-Node,14030,FC-7,SWITCH,R,0,FC-303,OUT,NA,NA,99,FC-7,CB,H,R,FC
1-Node,14031,LINE_FC-7A,BUS,R,0,FC-7,OUT,NA,NA,3,LINE_FC-7A,CB,H,R,FC
1-Node,14032,LINE_FC-2A,BUS,U,0,LINE_FC-7A,OUT,NA,NA,2,LINE_FC-2A,CC,H,R,FC
1-Node,14033,FC-203,SWITCH,U,0,LINE_FC-2A,OUT,NA,NA,99,FC-203,LC,H,L,FC
1-Node,14034,FC-2,70KVB,U,0,FC-203,OUT,NA,NA,99,FC-2,LC,H,L,FC
1-Node,14035,FC-201,SWITCH,U,0,FC-2,OUT,NA,NA,99,FC-201,LC,H,L,FC
1-Node,14036,LINE_FC-2B,BUS,L,0,LINE_FC-2A,OUT,NA,NA,3,LINE_FC-2B,CC,H,R,FC
1-Node,14037,LINE_FC-2C,BUS,U,0,LINE_FC-2B,OUT,NA,NA,3,LINE_FC-2C,CC,H,R,FC
1-Node,14038,FC-205,SWITCH,U,1,LINE_FC-2C,OUT,NA,NA,99,FC-205,RC,H,R,FC
1-Node,14039,LINE_FC-2D,BUS,U,0,FC-205,OUT,NA,NA,3,LINE_FC-2D,CC,H,1,FC
2-Node,14040,LINE_FC-2E,BUS,R,0,LINE_FC-2D,OUT,FC-201,OUT,3,LINE_FC-2E,CC,H,R,FC
1-Node,14042,LINE_FC-2F,BUS,U,0,FC-201,OUT,NA,NA,3,LINE_FC-2F,CC,H,R,FC
1-Node,14041,FC-200,SWITCH,U,0,LINE_FC-2F,OUT,NA,NA,99,FC-200,LC,H,L,FC
1-Node,14043,LINE_FC-5A,BUS,D,0,LINE_FC-7A,OUT,NA,NA,2,LINE_FC-5A,CC,H,R,FC
1-Node,14044,FC-503,SWITCH,D,0,LINE_FC-5A,OUT,NA,NA,99,FC-503,LC,H,R,FC
1-Node,14045,FC-5,70KVB,D,0,FC-503,OUT,NA,NA,99,FC-5,LC,H,R,FC
1-Node,14046,FC-501,SWITCH,D,0,FC-5,OUT,NA,NA,99,FC-501,LC,H,R,FC
1-Node,14047,LINE_FC-5B,BUS,L,0,LINE_FC-5A,OUT,NA,NA,3,LINE_FC-5B,CC,H,R,FC
1-Node,14048,LINE_FC-5C,BUS,D,0,LINE_FC-5B,OUT,NA,NA,3,LINE_FC-5C,CC,H,R,FC
1-Node,14049,FC-505,SWITCH,D,1,LINE_FC-5C,OUT,NA,NA,99,FC-505,RC,H,L,FC
1-Node,14050,LINE_FC-5D,BUS,D,0,FC-505,OUT,NA,NA,3,LINE_FC-5D,CC,H,R,FC
2-Node,14051,LINE_FC-5E,BUS,R,0,LINE_FC-5D,OUT,FC-501,OUT,3,LINE_FC-5E,CC,H,R,FC
1-Node,14052,XFMR_FC1,XFMR,D,0,FC-401,OUT,NA,NA,99,Transformer FC1,LC,H,R,FC
1-Node,14053,MAIN_FC1,12KVB,D,0,XFMR_FC1,OUT,NA,NA,99,FC1 Main,LC,H,R,FC
1-Node,14054,BUS_FC1A,BUS,L,0,MAIN_FC1,OUT,NA,NA,3,BUS_FC1A,CC,H,R,FC
1-Node,14056,BUS_FC1B,BUS,L,0,BUS_FC1A,OUT,NA,NA,3,BUS_FC1B,CC,H,R,FC
1-Node,14059,BUS_FC1C,BUS,R,0,MAIN_FC1,OUT,NA,NA,3,BUS_FC1C,CC,H,R,FC
1-Node,14061,BUS_FC1D,BUS,R,0,BUS_FC1C,OUT,NA,NA,3,BUS_FC1D,CC,H,R,FC
1-Node,14063,BUS_FC1E,BUS,R,0,BUS_FC1D,OUT,NA,NA,2,BUS_FC1E,CC,H,R,FC
1-Node,14064,XFMR_FC2,XFMR,D,0,FC-501,OUT,NA,NA,99,Transformer FC2,LC,H,R,FC
1-Node,14065,MAIN_FC2,12KVB,D,0,XFMR_FC2,OUT,NA,NA,99,FC2 Main,LC,H,R,FC
1-Node,14066,BUS_FC2A,BUS,R,0,MAIN_FC2,OUT,NA,NA,3,BUS_FC2A,CC,H,R,FC
1-Node,14068,BUS_FC2B,BUS,R,0,BUS_FC2A,OUT,NA,NA,3,BUS_FC2B,CC,H,R,FC
1-Node,14071,BUS_FC2C,BUS,L,0,MAIN_FC2,OUT,NA,NA,3,BUS_FC2C,CC,H,R,FC
1-Node,14073,BUS_FC2D,BUS,L,0,BUS_FC2C,OUT,NA,NA,3,BUS_FC2D,CC,H,R,FC
1-Node,14075,BUS_FC2E,BUS,L,0,BUS_FC2D,OUT,NA,NA,2,BUS_FC2E,CC,H,R,FC
1-Node,14062,FDR_FC3,12KVB,D,0,BUS_FC1B,OUT,NA,NA,99,FC3,LC,H,R,FC
1-Node,14062,FDR_FC5,12KVB,D,0,MAIN_FC1,OUT,NA,NA,99,FC5,LC,H,R,FC
1-Node,14062,FDR_FC7,12KVB,D,0,BUS_FC1D,OUT,NA,NA,99,FC7,LC,H,R,FC
1-Node,14072,FDR_FC4,12KVB,D,0,BUS_FC2D,OUT,NA,NA,99,FC4,LC,H,R,FC
1-Node,14070,FDR_FC6,12KVB,D,0,MAIN_FC2,OUT,NA,NA,99,FC6,LC,H,R,FC
1-Node,14067,FDR_FC8,12KVB,D,0,BUS_FC2B,OUT,NA,NA,99,FC8,LC,H,R,FC
2-Node,14076,TIE_FC1-FC2,12KVB,R,1,BUS_FC1E,OUT,BUS_FC2E,OUT,99,FC1-FC2 Tie,CB,H,R,FC
*** Skywalker Power Plant ***
0-node,30001,PP_TURB_A,TURB,D,1,40,140,NA,NA,4,A,CC,H,R,PP
0-node,30001,PP_TURB_B,TURB,D,1,44,140,NA,NA,4,B,CC,H,R,PP
0-node,30001,PP_TURB_C,TURB,D,1,48,140,NA,NA,4,C,CC,H,R,PP
0-node,30001,PP_TURB_D,TURB,D,1,52,140,NA,NA,4,D,CC,H,R,PP
0-node,30001,PP_TURB_E,TURB,D,1,56,140,NA,NA,4,E,CC,H,R,PP
1-node,30002,PP_CB_1A,12KVB,U,1,PP_TURB_A,IN,NA,NA,4,1A,LC,H,L,PP
1-node,30002,PP_CB_1B,12KVB,D,1,PP_TURB_A,OUT,NA,NA,4,1B,LC,H,R,PP
1-node,30002,PP_CB_2A,12KVB,U,1,PP_TURB_B,IN,NA,NA,4,2A,LC,H,L,PP
1-node,30002,PP_CB_2B,12KVB,D,1,PP_TURB_B,OUT,NA,NA,4,2B,LC,H,R,PP
1-node,30002,PP_CB_3A,12KVB,U,1,PP_TURB_C,IN,NA,NA,4,3A,LC,H,L,PP
1-node,30002,PP_CB_3B,12KVB,D,1,PP_TURB_C,OUT,NA,NA,4,3B,LC,H,R,PP
1-node,30002,PP_CB_4A,12KVB,U,1,PP_TURB_D,IN,NA,NA,4,4A,LC,H,L,PP
1-node,30002,PP_CB_4B,12KVB,D,1,PP_TURB_D,OUT,NA,NA,4,4B,LC,H,R,PP
1-node,30002,PP_CB_5A,12KVB,U,1,PP_TURB_E,IN,NA,NA,4,5A,LC,H,L,PP
1-node,30002,PP_CB_5B,12KVB,D,1,PP_TURB_E,OUT,NA,NA,4,5B,LC,H,R,PP
2-node,30003,BUS_PP_A1,BUS,R,0,PP_CB_1A,OUT,PP_CB_2A,OUT,4,BUS_PP_A1,CC,H,R,PP
2-node,30003,BUS_PP_A2,BUS,R,0,PP_CB_2A,OUT,PP_CB_3A,OUT,4,BUS_PP_A2,CC,H,R,PP
2-node,30003,BUS_PP_A3,BUS,R,0,PP_CB_3A,OUT,PP_CB_4A,OUT,4,BUS_PP_A3,CC,H,R,PP
2-node,30003,BUS_PP_A4,BUS,R,0,PP_CB_4A,OUT,PP_CB_5A,OUT,4,BUS_PP_A4,CC,H,R,PP
1-node,30003,BUS_PP_A5,BUS,R,0,PP_CB_5A,OUT,NA,NA,6,BUS_PP_A5,CC,H,R,PP
